标题： 谁能告诉我S08E17艾米莉的抽屉里放了些什么？ 	 链接：http://tieba.baidu.com//p/3622623620 	 发帖人：jrp125478  	 发帖时间：2015-03 	 回复数量： 36 
标题： 这最后一集看得我心情复杂 	 链接：http://tieba.baidu.com//p/5694885345 	 发帖人：亚克西   	 发帖时间：5-11 	 回复数量： 4 
标题： 谈恋爱对于男人来说，意味着什么？ 	 链接：http://tieba.baidu.com//p/5707377121 	 发帖人：秦明轩jjj   	 发帖时间：5-20 	 回复数量： 0 
标题： 一个苦苦等待第十一季的姑娘 	 链接：http://tieba.baidu.com//p/5254406694 	 发帖人：Kathyy  	 发帖时间：2017-08 	 回复数量： 15 
标题： 梳理主角人物关系。。。 	 链接：http://tieba.baidu.com//p/4996993367 	 发帖人：炎麟大帝  	 发帖时间：2017-02 	 回复数量： 12 
标题： 刚看完S11 E24…真的笑点和泪点都有 看到Sheldon 	 链接：http://tieba.baidu.com//p/5694947546 	 发帖人：Bang  	 发帖时间：5-11 	 回复数量： 26 
标题： 《生活大爆炸》S11：永不凋零的成长 	 链接：http://tieba.baidu.com//p/5704006740 	 发帖人：opllx的影子  	 发帖时间：5-17 	 回复数量： 21 
标题： 耳朵激动的样子真是萌翻了 	 链接：http://tieba.baidu.com//p/5695623400 	 发帖人：Kredom  	 发帖时间：5-12 	 回复数量： 1 
标题： 为什么我记得莱纳德说过谢耳朵不是亲生的 	 链接：http://tieba.baidu.com//p/5707143562 	 发帖人：搽菀  	 发帖时间：5-20 	 回复数量： 0 
标题： 求好人分享第五季的资源 	 链接：http://tieba.baidu.com//p/5707063999 	 发帖人：啊浪来啦  	 发帖时间：5-19 	 回复数量： 1 
标题： 第九季第八集，那个女的是谁啊， 	 链接：http://tieba.baidu.com//p/5243216737 	 发帖人：想了一个...   	 发帖时间：2017-07 	 回复数量： 15 
标题： 吐槽一把，顺便推荐大家点儿书 	 链接：http://tieba.baidu.com//p/5663747362 	 发帖人：wb311425  	 发帖时间：4-23 	 回复数量： 17 
